Date,Open,High,Low,Close,Adj Close,Volume,Volumej
17/06/2015,120.709999,123.400002,120.129997,120.75,120.75,1004800,100.48
18/06/2015,120.989998,123.400002,120.110001,122.540001,122.540001,979500,97.95
19/06/2015,122.370003,123.980003,121.150002,122.809998,122.809998,1702800,170.28
22/06/2015,123.809998,123.959999,120.559998,121.540001,121.540001,753900,75.39
23/06/2015,121.919998,122.860001,121.300003,122.160004,122.160004,418000,41.8
24/06/2015,121.900002,122.550003,118.589996,119.68,119.68,645700,64.57
25/06/2015,120.419998,121.800003,119.75,120.559998,120.559998,594900,59.49
26/06/2015,120.510002,120.510002,115.040001,116.860001,116.860001,1541900,154.19
29/06/2015,115.400002,118.82,113.540001,113.809998,113.809998,1182200,118.22
30/06/2015,115.220001,116.989998,113.349998,115.300003,115.300003,1491100,149.11
1/07/2015,116.739998,119.379997,116.650002,116.980003,116.980003,779500,77.95
2/07/2015,117.349998,117.709999,115.07,117.110001,117.110001,531600,53.16
6/07/2015,115.339996,118.169998,114.709999,116.809998,116.809998,602200,60.22
7/07/2015,116.669998,118.269997,113.870003,117.510002,117.510002,993800,99.38
8/07/2015,116.32,118.379997,115.589996,116.260002,116.260002,779600,77.96
9/07/2015,118.370003,122,117.459999,119.449997,119.449997,947000,94.7
10/07/2015,120.870003,122.489998,119.110001,121.010002,121.010002,727700,72.77
13/07/2015,122.879997,123.330002,120.099998,120.639999,120.639999,582100,58.21
14/07/2015,121.059998,122.230003,119.610001,121.779999,121.779999,621400,62.14
15/07/2015,122.25,122.25,120.459999,121.480003,121.480003,521000,52.1
16/07/2015,122.519997,126.93,121.639999,125.089996,125.089996,1040200,104.02
17/07/2015,125.760002,126.75,124.639999,126.339996,126.339996,626800,62.68
20/07/2015,126.25,128.630005,126.07,128.149994,128.149994,724600,72.46
21/07/2015,127.720001,128.600006,126.239998,127.57,127.57,455100,45.51
22/07/2015,126.599998,129.710007,126.480003,128.740005,128.740005,606400,60.64
23/07/2015,129.020004,131.339996,127.059998,127.269997,127.269997,719500,71.95
24/07/2015,129.539993,131.169998,125.540001,127.440002,127.440002,1155200,115.52
27/07/2015,126.010002,128.369995,123.760002,125,125,927700,92.77
28/07/2015,125.849998,127.269997,122.769997,127.07,127.07,1231100,123.11
29/07/2015,105.790001,114.190002,97.669998,113.489998,113.489998,11066000,1106.6
30/07/2015,111.779999,111.889999,103,106.839996,106.839996,3436200,343.62
31/07/2015,106.480003,107.610001,104.32,104.739998,104.739998,1295400,129.54
3/08/2015,104.290001,105.779999,99.169998,101.339996,101.339996,2714900,271.49
4/08/2015,100.540001,101.629997,98.93,101.18,101.18,1374300,137.43
5/08/2015,101.599998,104.730003,101.599998,103.940002,103.940002,1149900,114.99
6/08/2015,103.709999,104.370003,98.940002,99.25,99.25,1362400,136.24
7/08/2015,100.029999,102.68,98.610001,101.769997,101.769997,1311800,131.18
10/08/2015,101.849998,103.959999,101.480003,103.900002,103.900002,1196100,119.61
11/08/2015,102.559998,103.629997,100.379997,102.160004,102.160004,1108300,110.83
12/08/2015,101.099998,103.089996,100,103.050003,103.050003,982700,98.27
13/08/2015,102.93,105.400002,102.110001,104.25,104.25,1095200,109.52
14/08/2015,103.849998,109.400002,103.559998,107.440002,107.440002,1999000,199.9
17/08/2015,107.18,107.980003,105.309998,106.489998,106.489998,996800,99.68
18/08/2015,106.5,108.410004,105.339996,106.040001,106.040001,783400,78.34
19/08/2015,105.029999,107.080002,104.050003,104.559998,104.559998,771300,77.13
20/08/2015,103.790001,105.199997,100.300003,100.599998,100.599998,1234100,123.41
21/08/2015,98.760002,101.5,98.089996,99.480003,99.480003,1581400,158.14
24/08/2015,89.839996,101.730003,89.839996,94.82,94.82,1794500,179.45
25/08/2015,98.480003,100.870003,94.620003,94.870003,94.870003,1656200,165.62
26/08/2015,97.059998,97.550003,92.559998,96.360001,96.360001,2028600,202.86
27/08/2015,98.230003,99.400002,95.050003,97.330002,97.330002,1228500,122.85
28/08/2015,97.099998,98.190002,95.830002,97.160004,97.160004,1044200,104.42
31/08/2015,97.150002,98.57,94.050003,94.169998,94.169998,2498700,249.87
1/09/2015,92.410004,93.860001,91.360001,91.720001,91.720001,1453400,145.34
2/09/2015,92.720001,95.639999,92.019997,95.5,95.5,1074600,107.46
3/09/2015,95.949997,97,93.860001,95.080002,95.080002,723200,72.32
4/09/2015,93.699997,95.800003,93.629997,94.68,94.68,588100,58.81
8/09/2015,95.540001,96.699997,93.07,95.660004,95.660004,1489200,148.92
9/09/2015,96.410004,97.349998,93.169998,93.419998,93.419998,740500,74.05
10/09/2015,92.699997,94.75,91.639999,93.650002,93.650002,1001400,100.14
11/09/2015,93.410004,94.739998,93.110001,93.800003,93.800003,711700,71.17
14/09/2015,94.099998,94.519997,92.779999,94.389999,94.389999,653100,65.31
15/09/2015,94.190002,94.379997,92.43,93.010002,93.010002,1195600,119.56
16/09/2015,93.019997,93.330002,90.129997,91.519997,91.519997,1829100,182.91
17/09/2015,91.510002,91.660004,84.419998,84.809998,84.809998,7520200,752.02
18/09/2015,84.110001,84.940002,81.5,84.68,84.68,4329700,432.97
21/09/2015,85.25,87.5,85,86.480003,86.480003,2446300,244.63
22/09/2015,86,87.089996,83.089996,83.5,83.5,1516200,151.62
23/09/2015,84,85.019997,82.910004,84.559998,84.559998,1138900,113.89
24/09/2015,84.110001,85.980003,82.830002,85.589996,85.589996,1387000,138.7
25/09/2015,86.489998,87,82.129997,82.989998,82.989998,813700,81.37
28/09/2015,82.629997,83.25,78.589996,79.25,79.25,1551200,155.12
29/09/2015,79.220001,80.43,76.010002,77.580002,77.580002,1629600,162.96
30/09/2015,78.620003,80.239998,77.029999,79.779999,79.779999,1287700,128.77
1/10/2015,79.360001,82.370003,78.68,82.199997,82.199997,1527300,152.73
2/10/2015,80.480003,84.389999,79.160004,84.309998,84.309998,1294600,129.46
5/10/2015,84.300003,85.150002,82.660004,83.190002,83.190002,1302900,130.29
6/10/2015,82.709999,83.529999,79.410004,80.93,80.93,1190500,119.05
7/10/2015,81.400002,83.410004,80.150002,83.089996,83.089996,992700,99.27
8/10/2015,82.900002,83,79.220001,79.559998,79.559998,1221900,122.19
9/10/2015,79.860001,83.300003,78.279999,83,83,1297700,129.77
12/10/2015,83.050003,84.800003,82.080002,84.459999,84.459999,1395100,139.51
13/10/2015,83.940002,85.970001,82.699997,84.239998,84.239998,1696400,169.64
14/10/2015,84.050003,84.610001,81.040001,81.769997,81.769997,1030600,103.06
15/10/2015,82.07,83,80.309998,82.949997,82.949997,975100,97.51
16/10/2015,83.360001,85.089996,82.309998,85.050003,85.050003,999400,99.94
19/10/2015,85,89.059998,84.559998,85.519997,85.519997,1427900,142.79
